Import,github.com/tjs.cissp/020823.dj.bbo.shortcuts.txt
Option,dlscott
Shortcut,PreA,Our 1!C shows an unbalanced 11+ HCP hand with 3+!Cs or a balanced 15-17 HCP hand with any 5-card suit.\n
Shortcut,WelC,Welcome from Jerry and David from Alabama\n
Shortcut,WePlay,We play 2/1 12-14 Notrumps Ambiguous 2!C major suit raises Lebensol  UDA and Suit Preference is we lead  Std Count if you lead\n
Shortcut,NPP,Nicely Played Partner\n
Shortcut,NDef,Nice Defense\n
Shortcut,****,\n
Shortcut,1C,3+C unbal and 11+HCP or 15-17 Balanced with any 5-card suit\n
Shortcut,1C1D,Shows 4 !Hs and 5+ HCP\n
Shortcut,1C1H,Shows 4 !S and 5+ HCP\n
Shortcut,1C1S,6+ HCP No 4 card majon \n
Shortcut,1C1N,Game Force Does not deny a 4 card major\n
Shortcut,1C2C,!C Limit raise\n
Shortcut,1C2D,Constructive 6 card !D suit\n
Shortcut,1C2H,4+!H 5!S 5-8 HCP\n
Shortcut,1C2S,4+!H 5!S 9-12 HCP\n
Shortcut,1Cxx1NT,15-17 balanced\n
Shortcut,****,\n
Shortcut,1D,4+ !Ds\n
Shortcut,1D1N,6-10 HCP No 4-Card Major\n
Shortcut,1D2C,Game Force No 4-Card Major\n
Shortcut,1D2C2H,4441 with a Singleton !C\n
Shortcut,1D2C2S,Good !C raise\n
Shortcut,1D2C3C,3-card !C raise\n
Shortcut,1D2C2N,18-19 HCP Balanced\n
Shortcut,1D3C,7+ Clubs preemptive\n
Shortcut,1D3D,5+!Ds less than limit raise HCP\n
Shortcut,****,\n
Shortcut,1H1S,3+ Forcing\n
Shortcut,1H1N,Forcing\n
Shortcut,1H2C,3+!Hs 5 to 18 HCP\n
Shortcut,1H2D,Game force in !Ds\n
Shortcut,1H2H,4+!Hs 10+ HCP\n
Shortcut,1H2S,4+!Hs 8-9 HCP and a Singleton\n
Shortcut,1H2N,Game Force in !Cs\n
Shortcut,1H3C,!H limit raise with Good !Cs\n
Shortcut,1H3D,!H limit raise with Good !Ds\n
Shortcut,1H3H,4!Hs Balanced with 8-9 HCP\n
Shortcut,1H3N,5!Hs and 4 controls Ace is 2 King is 1\n
Shortcut,1HDB2N,4 trumps and 10+ HCP\n
Shortcut,1HU23C,Can Beat one Minor Have !H limit Raise\n
Shortcut,1HU23D,Have limit raise in !S\n
Shortcut,****,\n
Shortcut,1S1N,Forcing\n
Shortcut,1S2C,3+!Ss 5 to 18 HCP\n
Shortcut,1S2D,Game force in !Cs or !Ds\n
Shortcut,1S2H,Game force in !Hs less than 3!Ss\n
Shortcut,1S2S,4+!Ss 10+ HCP\n
Shortcut,1S2N,4+!Ss 8-9 HCP and a Singleton\n
Shortcut,1S3C,!S limit raise with Good !Cs\n
Shortcut,1S3D,!D limit raise with Good !Ds\n
Shortcut,1S3H,7+!Hs Less than 2!Ss Not Forcing\n
Shortcut,1S3S,4!Ss Balanced with 8-9 HCP\n
Shortcut,1S3N,5!Ss and 4 controls Ace is 2 King is 1\n
Shortcut,1SDB2N,4 !Ss and 10+ HCP\n
Shortcut,1SU23C,Can Beat one Minor Have !S limit Raise\n
Shortcut,1SU23D,Have limit raise in !H\n
Shortcut,****,
Shortcut,WNT,12-14 Balanced\n
Shortcut,1N2D,!Hs\n
Shortcut,1N2H,!Ss\n
Shortcut,1N2S,Asking for HCP\n
Shortcut,1N2N,!Ds\n
Shortcut,1N3C,5+4+ in minors Not Game Forcing\n
Shortcut,1N2D,55 in minors Forcing\n
Shortcut,1N3H,54 in minors  Asks partner to bid 3N with !H stopped\n
Shortcut,1N3S,54 in minors  Asks partner to bid 3N with !S stopped\n
Shortcut,****,
Shortcut,MWDBL,6+ card Minor or Both Majors\n
Shortcut,MW2C,4+ !Cs and a higher suit\n
Shortcut,MW2D,!Ds and a higher suit\n
Shortcut,MW2H,5+Hs\n
Shortcut,MK2S,5+Ss\n
Shortcut,MK2NT,55 in minors or 55 in Hearts\n
Shortcut,****,
Shortcut,LB2CDB,Stayman or !Cs if 2!C shows a single suited hand\n
